 X,Y,Hinc_z
    0.10200E+01,    0.26000E+00,    0.28417E+00
    0.10100E+01,    0.26000E+00,    0.29616E+00
    0.10200E+01,    0.25000E+00,    0.28417E+00
    0.10100E+01,    0.25000E+00,    0.29620E+00
    0.10200E+01,    0.24007E+00,    0.28417E+00
    0.10001E+01,    0.26000E+00,    0.30810E+00
    0.10000E+01,    0.25000E+00,    0.30819E+00
    0.10113E+01,    0.23511E+00,    0.29459E+00
    0.10021E+01,    0.23923E+00,    0.30566E+00
    0.10200E+01,    0.23015E+00,    0.28417E+00
    0.99011E+00,    0.26000E+00,    0.32000E+00
    0.99000E+00,    0.25000E+00,    0.32013E+00
    0.99237E+00,    0.24047E+00,    0.31730E+00
    0.10037E+01,    0.22890E+00,    0.30372E+00
    0.99526E+00,    0.23092E+00,    0.31386E+00
    0.10200E+01,    0.22022E+00,    0.28417E+00
    0.98014E+00,    0.26000E+00,    0.33184E+00
    0.10100E+01,    0.22019E+00,    0.29620E+00
    0.98000E+00,    0.25000E+00,    0.33202E+00
    0.98207E+00,    0.24259E+00,    0.32956E+00
    0.10000E+01,    0.22016E+00,    0.30819E+00
    0.98576E+00,    0.23135E+00,    0.32517E+00
    0.97018E+00,    0.26000E+00,    0.34364E+00
    0.99000E+00,    0.22013E+00,    0.32013E+00
    0.10200E+01,    0.21000E+00,    0.28417E+00
    0.97000E+00,    0.25000E+00,    0.34385E+00
    0.10099E+01,    0.21000E+00,    0.29628E+00
    0.97430E+00,    0.23372E+00,    0.33877E+00
    0.99986E+00,    0.21000E+00,    0.30835E+00
    0.98000E+00,    0.22010E+00,    0.33202E+00
    0.96588E+00,    0.23984E+00,    0.34871E+00
    0.98980E+00,    0.21000E+00,    0.32037E+00
    0.96022E+00,    0.26000E+00,    0.35538E+00
    0.96000E+00,    0.25000E+00,    0.35563E+00
    0.96607E+00,    0.23008E+00,    0.34849E+00
    0.97000E+00,    0.22006E+00,    0.34385E+00
    0.97973E+00,    0.21000E+00,    0.33234E+00
    0.95866E+00,    0.23499E+00,    0.35721E+00
    0.95025E+00,    0.26000E+00,    0.36706E+00
    0.95000E+00,    0.25000E+00,    0.36736E+00
    0.96966E+00,    0.21000E+00,    0.34425E+00
    0.96000E+00,    0.22003E+00,    0.35563E+00
    0.95000E+00,    0.24000E+00,    0.36736E+00
    0.95000E+00,    0.23000E+00,    0.36736E+00
    0.95959E+00,    0.21000E+00,    0.35611E+00
    0.94029E+00,    0.26000E+00,    0.37869E+00
    0.94006E+00,    0.25000E+00,    0.37895E+00
    0.95000E+00,    0.22000E+00,    0.36736E+00
    0.94952E+00,    0.21000E+00,    0.36791E+00
    0.94005E+00,    0.22000E+00,    0.37897E+00
    0.93033E+00,    0.26000E+00,    0.39025E+00
    0.93013E+00,    0.25000E+00,    0.39048E+00
    0.93946E+00,    0.21000E+00,    0.37966E+00
    0.93009E+00,    0.22000E+00,    0.39052E+00
    0.92036E+00,    0.26000E+00,    0.40176E+00
    0.92019E+00,    0.25000E+00,    0.40195E+00
    0.92939E+00,    0.21000E+00,    0.39134E+00
    0.92014E+00,    0.22000E+00,    0.40202E+00
    0.91040E+00,    0.26000E+00,    0.41320E+00
    0.91026E+00,    0.25000E+00,    0.41336E+00
    0.91932E+00,    0.21000E+00,    0.40296E+00
    0.91018E+00,    0.22000E+00,    0.41345E+00
    0.90043E+00,    0.26000E+00,    0.42458E+00
    0.90032E+00,    0.25000E+00,    0.42470E+00
    0.90925E+00,    0.21000E+00,    0.41451E+00
    0.90023E+00,    0.22000E+00,    0.42481E+00
    0.89047E+00,    0.26000E+00,    0.43589E+00
    0.89039E+00,    0.25000E+00,    0.43598E+00
    0.89918E+00,    0.21000E+00,    0.42600E+00
    0.89027E+00,    0.22000E+00,    0.43611E+00
    0.88051E+00,    0.26000E+00,    0.44713E+00
    0.88045E+00,    0.25000E+00,    0.44719E+00
    0.88912E+00,    0.21000E+00,    0.43742E+00
    0.88032E+00,    0.22000E+00,    0.44734E+00
    0.87054E+00,    0.26000E+00,    0.45830E+00
    0.87905E+00,    0.21000E+00,    0.44877E+00
    0.87052E+00,    0.25000E+00,    0.45833E+00
    0.87036E+00,    0.22000E+00,    0.45850E+00
    0.86898E+00,    0.21000E+00,    0.46005E+00
    0.86058E+00,    0.26000E+00,    0.46940E+00
    0.86058E+00,    0.25000E+00,    0.46939E+00
    0.86041E+00,    0.22000E+00,    0.46959E+00
    0.85891E+00,    0.21000E+00,    0.47125E+00
    0.85062E+00,    0.26000E+00,    0.48043E+00
    0.85065E+00,    0.25000E+00,    0.48039E+00
    0.85045E+00,    0.22000E+00,    0.48060E+00
    0.84884E+00,    0.21000E+00,    0.48238E+00
    0.84065E+00,    0.26000E+00,    0.49138E+00
    0.84071E+00,    0.25000E+00,    0.49131E+00
    0.84050E+00,    0.22000E+00,    0.49154E+00
    0.83878E+00,    0.21000E+00,    0.49343E+00
    0.83069E+00,    0.26000E+00,    0.50225E+00
    0.83078E+00,    0.25000E+00,    0.50215E+00
    0.83055E+00,    0.22000E+00,    0.50241E+00
    0.82871E+00,    0.21000E+00,    0.50440E+00
    0.82072E+00,    0.26000E+00,    0.51305E+00
    0.82084E+00,    0.25000E+00,    0.51292E+00
    0.82059E+00,    0.22000E+00,    0.51319E+00
    0.81864E+00,    0.21000E+00,    0.51529E+00
    0.81076E+00,    0.26000E+00,    0.52376E+00
    0.81091E+00,    0.25000E+00,    0.52360E+00
    0.81064E+00,    0.22000E+00,    0.52389E+00
    0.80857E+00,    0.21000E+00,    0.52610E+00
    0.80080E+00,    0.26000E+00,    0.53439E+00
    0.80097E+00,    0.25000E+00,    0.53420E+00
    0.80068E+00,    0.22000E+00,    0.53451E+00
    0.79851E+00,    0.21000E+00,    0.53683E+00
    0.79083E+00,    0.26000E+00,    0.54494E+00
    0.79104E+00,    0.25000E+00,    0.54472E+00
    0.79073E+00,    0.22000E+00,    0.54505E+00
    0.78844E+00,    0.21000E+00,    0.54746E+00
    0.78110E+00,    0.25000E+00,    0.55516E+00
    0.78087E+00,    0.26000E+00,    0.55540E+00
    0.78077E+00,    0.22000E+00,    0.55550E+00
    0.77837E+00,    0.21000E+00,    0.55801E+00
    0.77117E+00,    0.25000E+00,    0.56551E+00
    0.77090E+00,    0.26000E+00,    0.56578E+00
    0.77082E+00,    0.22000E+00,    0.56587E+00
    0.76830E+00,    0.21000E+00,    0.56848E+00
    0.76123E+00,    0.25000E+00,    0.57576E+00
    0.76094E+00,    0.26000E+00,    0.57607E+00
    0.76086E+00,    0.22000E+00,    0.57615E+00
    0.75823E+00,    0.21000E+00,    0.57885E+00
    0.75130E+00,    0.25000E+00,    0.58593E+00
    0.75098E+00,    0.26000E+00,    0.58626E+00
    0.75091E+00,    0.22000E+00,    0.58633E+00
    0.74817E+00,    0.21000E+00,    0.58912E+00
    0.74136E+00,    0.25000E+00,    0.59601E+00
    0.74101E+00,    0.26000E+00,    0.59637E+00
    0.74095E+00,    0.22000E+00,    0.59643E+00
    0.73810E+00,    0.21000E+00,    0.59931E+00
    0.73143E+00,    0.25000E+00,    0.60600E+00
    0.73105E+00,    0.26000E+00,    0.60638E+00
    0.73100E+00,    0.22000E+00,    0.60643E+00
    0.72811E+00,    0.21000E+00,    0.60931E+00
    0.72149E+00,    0.25000E+00,    0.61589E+00
    0.72109E+00,    0.26000E+00,    0.61629E+00
    0.72105E+00,    0.22000E+00,    0.61633E+00
    0.71826E+00,    0.21000E+00,    0.61909E+00
    0.71156E+00,    0.25000E+00,    0.62568E+00
    0.71121E+00,    0.26000E+00,    0.62603E+00
    0.71109E+00,    0.22000E+00,    0.62614E+00
    0.70855E+00,    0.21000E+00,    0.62863E+00
    0.70162E+00,    0.25000E+00,    0.63538E+00
    0.70146E+00,    0.26000E+00,    0.63553E+00
    0.70114E+00,    0.22000E+00,    0.63585E+00
    0.69898E+00,    0.21000E+00,    0.63794E+00
    0.69186E+00,    0.26000E+00,    0.64482E+00
    0.69169E+00,    0.25000E+00,    0.64498E+00
    0.69118E+00,    0.22000E+00,    0.64546E+00
    0.68956E+00,    0.21000E+00,    0.64702E+00
    0.68238E+00,    0.26000E+00,    0.65388E+00
    0.68175E+00,    0.25000E+00,    0.65447E+00
    0.68123E+00,    0.22000E+00,    0.65497E+00
    0.68027E+00,    0.21000E+00,    0.65588E+00
    0.67304E+00,    0.26000E+00,    0.66272E+00
    0.67182E+00,    0.25000E+00,    0.66387E+00
    0.67127E+00,    0.22000E+00,    0.66438E+00
    0.67113E+00,    0.21000E+00,    0.66452E+00
    0.66384E+00,    0.26000E+00,    0.67134E+00
    0.66188E+00,    0.25000E+00,    0.67316E+00
    0.66143E+00,    0.22000E+00,    0.67358E+00
    0.66212E+00,    0.21000E+00,    0.67294E+00
    0.65477E+00,    0.26000E+00,    0.67975E+00
    0.65195E+00,    0.25000E+00,    0.68235E+00
    0.65326E+00,    0.21000E+00,    0.68114E+00
    0.65173E+00,    0.22000E+00,    0.68255E+00
    0.64584E+00,    0.26000E+00,    0.68794E+00
    0.64203E+00,    0.25000E+00,    0.69141E+00
    0.64453E+00,    0.21000E+00,    0.68913E+00
    0.64217E+00,    0.22000E+00,    0.69128E+00
    0.63704E+00,    0.26000E+00,    0.69593E+00
    0.63595E+00,    0.21000E+00,    0.69691E+00
    0.63224E+00,    0.25000E+00,    0.70025E+00
    0.63276E+00,    0.22000E+00,    0.69978E+00
    0.62838E+00,    0.26000E+00,    0.70371E+00
    0.62750E+00,    0.21000E+00,    0.70449E+00
    0.62258E+00,    0.25000E+00,    0.70887E+00
    0.62350E+00,    0.22000E+00,    0.70806E+00
    0.61985E+00,    0.26000E+00,    0.71129E+00
    0.61920E+00,    0.21000E+00,    0.71187E+00
    0.61306E+00,    0.25000E+00,    0.71726E+00
    0.61438E+00,    0.22000E+00,    0.71611E+00
    0.61145E+00,    0.26000E+00,    0.71867E+00
    0.61103E+00,    0.21000E+00,    0.71904E+00
    0.60367E+00,    0.25000E+00,    0.72544E+00
    0.60541E+00,    0.22000E+00,    0.72394E+00
    0.60319E+00,    0.26000E+00,    0.72586E+00
    0.60300E+00,    0.21000E+00,    0.72602E+00
    0.59506E+00,    0.26000E+00,    0.73285E+00
    0.59658E+00,    0.22000E+00,    0.73155E+00
    0.59441E+00,    0.25000E+00,    0.73341E+00
    0.59510E+00,    0.21000E+00,    0.73281E+00
    0.58706E+00,    0.26000E+00,    0.73966E+00
    0.58790E+00,    0.22000E+00,    0.73895E+00
    0.58529E+00,    0.25000E+00,    0.74116E+00
