 X,Y,Ereal_x,Eimag_x,Ereal_y,Eimag_y
    0.44681E+01,   -0.30451E+01,   -0.22931E-17,   -0.87039E-18,   -0.92248E-19,   -0.81121E-18
    0.44683E+01,   -0.30455E+01,   -0.19735E-17,   -0.11815E-17,   -0.29860E-18,    0.42129E-18
    0.44684E+01,   -0.30460E+01,   -0.16475E-17,   -0.89825E-18,   -0.55217E-18,    0.10703E-17
    0.44683E+01,   -0.30453E+01,   -0.19868E-17,   -0.13610E-17,   -0.36648E-18,   -0.36247E-18
    0.44682E+01,   -0.30449E+01,   -0.23024E-17,   -0.87303E-18,   -0.25162E-18,   -0.85917E-18
    0.44686E+01,   -0.30451E+01,   -0.13475E-17,   -0.15772E-17,    0.12352E-19,   -0.49306E-18
    0.44685E+01,   -0.30448E+01,   -0.12684E-17,   -0.13664E-17,   -0.14364E-18,   -0.90802E-18
    0.44680E+01,   -0.30447E+01,   -0.21619E-17,   -0.91096E-18,   -0.37895E-18,   -0.82711E-18
    0.44682E+01,   -0.30443E+01,   -0.18835E-17,   -0.94794E-18,    0.14074E-19,   -0.88158E-18
    0.44685E+01,   -0.30457E+01,   -0.16728E-17,   -0.10764E-17,   -0.67410E-18,    0.29024E-18
    0.44688E+01,   -0.30457E+01,   -0.78130E-18,   -0.14079E-17,   -0.47266E-18,    0.21362E-18
    0.44687E+01,   -0.30463E+01,   -0.13513E-17,   -0.73826E-18,   -0.91688E-18,    0.86904E-18
    0.44689E+01,   -0.30453E+01,   -0.73012E-18,   -0.15497E-17,   -0.22456E-18,   -0.50063E-18
    0.44686E+01,   -0.30466E+01,   -0.11022E-17,   -0.69530E-18,   -0.24882E-18,    0.98907E-18
    0.44687E+01,   -0.30470E+01,   -0.11655E-17,   -0.52884E-18,   -0.71029E-20,    0.34741E-18
    0.44680E+01,   -0.30440E+01,   -0.17446E-17,   -0.12305E-17,   -0.20230E-18,   -0.44814E-18
    0.44690E+01,   -0.30460E+01,   -0.78287E-18,   -0.14547E-17,   -0.46760E-18,    0.29602E-18
    0.44685E+01,   -0.30445E+01,   -0.12613E-17,   -0.13352E-17,   -0.12225E-18,   -0.79252E-18
    0.44692E+01,   -0.30451E+01,   -0.69173E-18,   -0.13395E-17,   -0.20688E-18,   -0.40175E-18
    0.43935E+01,   -0.22883E+01,   -0.19445E-18,   -0.72256E-19,   -0.16249E-19,    0.48936E-18
    0.44683E+01,   -0.30435E+01,   -0.13455E-17,   -0.13462E-17,    0.30382E-18,   -0.60189E-18
    0.44697E+01,   -0.30454E+01,   -0.45092E-18,   -0.14207E-17,   -0.35142E-18,   -0.34670E-18
    0.44689E+01,   -0.30442E+01,   -0.93217E-18,   -0.12361E-17,    0.49854E-19,   -0.73947E-18
    0.44688E+01,   -0.30437E+01,   -0.94812E-18,   -0.12474E-17,    0.21092E-18,   -0.61988E-18
    0.44680E+01,   -0.30430E+01,   -0.11873E-17,   -0.14600E-17,   -0.18594E-20,   -0.38833E-18
    0.44696E+01,   -0.30460E+01,   -0.46819E-18,   -0.13340E-17,   -0.46319E-18,    0.29483E-18
    0.44703E+01,   -0.30449E+01,   -0.41824E-18,   -0.12337E-17,   -0.33043E-18,   -0.23344E-18
    0.44689E+01,   -0.30481E+01,   -0.88191E-18,   -0.64248E-18,    0.99602E-19,   -0.55005E-19
    0.43938E+01,   -0.22889E+01,   -0.16389E-18,   -0.68234E-19,   -0.73915E-19,    0.47816E-18
    0.43938E+01,   -0.22878E+01,   -0.24188E-18,   -0.14009E-18,   -0.12178E-18,    0.33776E-18
    0.43934E+01,   -0.22873E+01,   -0.27028E-18,   -0.37148E-19,   -0.91717E-19,    0.21734E-18
    0.43934E+01,   -0.22864E+01,   -0.29047E-18,   -0.12986E-18,   -0.16187E-18,   -0.10696E-18
    0.44691E+01,   -0.30474E+01,   -0.95490E-18,   -0.52293E-18,   -0.16086E-18,    0.34318E-18
    0.44693E+01,   -0.30432E+01,   -0.87494E-18,   -0.98044E-18,    0.26837E-18,   -0.38616E-18
    0.44709E+01,   -0.30452E+01,   -0.49420E-18,   -0.11565E-17,   -0.30080E-18,   -0.25607E-18
    0.44695E+01,   -0.30486E+01,   -0.80672E-18,   -0.75295E-18,   -0.20411E-20,    0.10721E-18
    0.44693E+01,   -0.30445E+01,   -0.68498E-18,   -0.13499E-17,   -0.10525E-18,   -0.66111E-18
    0.44700E+01,   -0.30443E+01,   -0.58002E-18,   -0.10328E-17,   -0.72785E-19,   -0.55845E-18
    0.44684E+01,   -0.30424E+01,   -0.10468E-17,   -0.12264E-17,    0.19955E-18,   -0.46817E-19
    0.43935E+01,   -0.22895E+01,   -0.28445E-19,   -0.60029E-19,    0.13495E-18,    0.49541E-18
    0.43942E+01,   -0.22902E+01,    0.31533E-21,   -0.65200E-19,    0.96202E-19,    0.49551E-18
    0.43946E+01,   -0.22890E+01,   -0.55401E-19,   -0.12014E-18,   -0.62463E-19,    0.46301E-18
    0.43946E+01,   -0.22877E+01,   -0.81004E-19,   -0.15045E-18,   -0.11966E-18,    0.33076E-18
    0.44692E+01,   -0.30493E+01,   -0.73402E-18,   -0.77372E-18,    0.17704E-18,    0.67086E-19
    0.44694E+01,   -0.30503E+01,   -0.80555E-18,   -0.79928E-18,    0.32798E-18,    0.11999E-18
    0.44709E+01,   -0.30462E+01,   -0.49736E-18,   -0.11654E-17,   -0.22904E-18,   -0.23308E-19
    0.44692E+01,   -0.30425E+01,   -0.84256E-18,   -0.10834E-17,    0.16814E-18,   -0.66570E-19
    0.44698E+01,   -0.30416E+01,   -0.83708E-18,   -0.74230E-18,    0.16393E-18,    0.33970E-18
    0.44701E+01,   -0.30436E+01,   -0.55062E-18,   -0.10019E-17,    0.11371E-18,   -0.36977E-18
    0.44680E+01,   -0.30417E+01,   -0.79279E-18,   -0.12436E-17,   -0.21825E-18,   -0.23599E-19
    0.44716E+01,   -0.30447E+01,   -0.41954E-18,   -0.77265E-18,   -0.26117E-18,   -0.57794E-19
    0.44702E+01,   -0.30481E+01,   -0.61252E-18,   -0.93042E-18,    0.83617E-19,    0.21519E-19
    0.43950E+01,   -0.22884E+01,   -0.84616E-19,   -0.17114E-18,   -0.10809E-18,    0.37616E-18
    0.43961E+01,   -0.22884E+01,    0.12364E-19,   -0.25818E-18,   -0.99962E-19,    0.36021E-18
    0.43950E+01,   -0.22869E+01,   -0.74368E-19,   -0.27059E-18,   -0.10600E-18,    0.62084E-19
    0.44699E+01,   -0.30472E+01,   -0.53713E-18,   -0.10348E-17,   -0.39939E-19,    0.18922E-18
    0.43949E+01,   -0.22899E+01,   -0.74063E-19,   -0.11845E-18,    0.52427E-19,    0.45467E-18
    0.44683E+01,   -0.30409E+01,   -0.73055E-18,   -0.10570E-17,   -0.10517E-18,    0.32443E-18
    0.44701E+01,   -0.30465E+01,   -0.61837E-18,   -0.10918E-17,   -0.27948E-18,    0.11847E-19
    0.44716E+01,   -0.30469E+01,   -0.55102E-18,   -0.89027E-18,   -0.19675E-18,   -0.17040E-18
    0.44725E+01,   -0.30453E+01,   -0.38728E-18,   -0.69576E-18,   -0.27499E-18,   -0.96152E-19
    0.44709E+01,   -0.30431E+01,   -0.54621E-18,   -0.50286E-18,    0.11159E-18,   -0.99816E-19
    0.43939E+01,   -0.22910E+01,    0.33767E-21,   -0.98682E-19,    0.97003E-19,    0.41347E-18
    0.43949E+01,   -0.22921E+01,    0.31801E-19,   -0.14981E-18,    0.52759E-19,    0.47400E-18
    0.43961E+01,   -0.22873E+01,    0.11397E-19,   -0.34618E-18,   -0.10312E-18,    0.60496E-19
    0.43942E+01,   -0.22861E+01,   -0.12004E-18,   -0.13076E-18,   -0.56821E-19,   -0.10692E-18
    0.44678E+01,   -0.30400E+01,   -0.51947E-18,   -0.74132E-18,   -0.32722E-18,   -0.58926E-20
    0.44685E+01,   -0.30387E+01,   -0.41180E-18,   -0.66976E-18,   -0.15538E-18,    0.98318E-19
    0.43936E+01,   -0.22842E+01,    0.47047E-21,   -0.15298E-18,   -0.33929E-18,    0.85685E-19
    0.44693E+01,   -0.30407E+01,   -0.65672E-18,   -0.75923E-18,   -0.94565E-19,    0.36176E-18
    0.44695E+01,   -0.30392E+01,   -0.64651E-18,   -0.82761E-18,   -0.78242E-19,    0.14937E-18
    0.44708E+01,   -0.30419E+01,   -0.54425E-18,   -0.54789E-18,    0.10378E-18,    0.29769E-18
    0.44711E+01,   -0.30481E+01,   -0.44757E-18,   -0.82229E-18,    0.36430E-19,   -0.75107E-20
    0.44725E+01,   -0.30465E+01,   -0.37520E-18,   -0.70000E-18,   -0.14042E-18,   -0.11089E-18
    0.44738E+01,   -0.30472E+01,   -0.38529E-18,   -0.46939E-18,   -0.13103E-18,   -0.22372E-18
    0.44735E+01,   -0.30446E+01,   -0.12634E-18,   -0.25691E-18,   -0.12988E-18,    0.14241E-18
    0.43967E+01,   -0.22895E+01,   -0.45030E-19,   -0.28172E-18,    0.12250E-19,    0.40776E-18
    0.44703E+01,   -0.30523E+01,   -0.68764E-18,   -0.67904E-18,    0.70915E-18,    0.27037E-18
    0.43945E+01,   -0.22850E+01,   -0.13963E-18,   -0.99090E-19,   -0.13715E-18,    0.13693E-19
    0.43960E+01,   -0.22845E+01,    0.21427E-19,   -0.87583E-19,   -0.87524E-19,    0.15141E-19
    0.43943E+01,   -0.22827E+01,    0.44132E-19,   -0.13458E-18,   -0.17648E-18,    0.13730E-18
    0.44680E+01,   -0.30376E+01,   -0.27171E-18,   -0.41027E-18,   -0.30078E-18,   -0.16958E-18
    0.44677E+01,   -0.30358E+01,   -0.27555E-18,   -0.39623E-18,   -0.35838E-18,   -0.51664E-20
    0.44717E+01,   -0.30436E+01,   -0.39729E-18,   -0.76030E-18,    0.19052E-19,    0.66473E-19
    0.44731E+01,   -0.30435E+01,   -0.17222E-18,   -0.27153E-18,    0.84657E-19,    0.20903E-18
    0.44746E+01,   -0.30458E+01,   -0.28354E-18,   -0.18225E-18,   -0.21696E-19,    0.92119E-19
    0.43959E+01,   -0.22903E+01,   -0.24846E-19,   -0.22594E-18,    0.34492E-19,    0.48163E-18
    0.44718E+01,   -0.30408E+01,   -0.41378E-18,   -0.40168E-18,    0.20070E-18,    0.40434E-18
    0.44705E+01,   -0.30508E+01,   -0.62851E-18,   -0.64881E-18,    0.24707E-18,    0.53449E-19
    0.43936E+01,   -0.22817E+01,    0.88713E-19,   -0.97349E-19,   -0.21989E-18,    0.10349E-18
    0.43934E+01,   -0.22797E+01,    0.89307E-19,   -0.96377E-19,   -0.27426E-18,    0.13147E-20
    0.43982E+01,   -0.22896E+01,   -0.43526E-19,   -0.12656E-18,    0.11782E-19,    0.37714E-18
    0.43961E+01,   -0.22917E+01,   -0.24580E-19,   -0.22402E-18,    0.22386E-19,    0.41726E-18
    0.76382E+01,   -0.81747E+00,   -0.22838E-21,   -0.45216E-22,    0.91485E-21,   -0.11113E-20
    0.44713E+01,   -0.30537E+01,   -0.50771E-18,   -0.43974E-18,    0.52915E-18,    0.34069E-19
    0.44733E+01,   -0.30490E+01,   -0.39128E-18,   -0.47487E-18,    0.24258E-18,   -0.92784E-19
    0.43959E+01,   -0.22828E+01,    0.24356E-19,   -0.91727E-19,   -0.16715E-18,    0.12793E-18
    0.43944E+01,   -0.22933E+01,    0.60962E-20,   -0.18948E-18,   -0.31280E-20,    0.39837E-18
    0.43976E+01,   -0.22924E+01,   -0.99003E-19,   -0.10951E-18,    0.48713E-19,    0.36321E-18
    0.44733E+01,   -0.30418E+01,   -0.16073E-18,   -0.21290E-18,    0.10636E-18,    0.33098E-18
    0.44710E+01,   -0.30390E+01,   -0.32086E-18,   -0.33640E-18,    0.90118E-22,    0.26348E-18
    0.43946E+01,   -0.22951E+01,   -0.36316E-19,   -0.17363E-18,    0.10222E-18,    0.35922E-18
    0.44706E+01,   -0.30555E+01,   -0.32181E-18,   -0.37647E-18,    0.80760E-18,    0.13180E-18
