 x,    y,    V
    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.50000E-01,    0.00000E+00,    0.00000E+00
    0.10000E+00,    0.00000E+00,    0.00000E+00
    0.15000E+00,    0.00000E+00,    0.00000E+00
    0.20000E+00,    0.00000E+00,    0.00000E+00
    0.25000E+00,    0.00000E+00,    0.00000E+00
    0.30000E+00,    0.00000E+00,    0.00000E+00
    0.35000E+00,    0.00000E+00,    0.00000E+00
    0.40000E+00,    0.00000E+00,    0.00000E+00
    0.45000E+00,    0.00000E+00,    0.00000E+00
    0.50000E+00,    0.00000E+00,    0.00000E+00
    0.55000E+00,    0.00000E+00,    0.00000E+00
    0.60000E+00,    0.00000E+00,    0.00000E+00
    0.65000E+00,    0.00000E+00,    0.00000E+00
    0.70000E+00,    0.00000E+00,    0.00000E+00
    0.75000E+00,    0.00000E+00,    0.00000E+00
    0.80000E+00,    0.00000E+00,    0.00000E+00
    0.85000E+00,    0.00000E+00,    0.00000E+00
    0.90000E+00,    0.00000E+00,    0.00000E+00
    0.95000E+00,    0.00000E+00,    0.00000E+00
    0.10000E+01,    0.00000E+00,    0.00000E+00
    0.00000E+00,    0.50000E-01,    0.00000E+00
    0.50000E-01,    0.50000E-01,    0.20637E-02
    0.10000E+00,    0.50000E-01,    0.29344E-02
    0.15000E+00,    0.50000E-01,    0.34481E-02
    0.20000E+00,    0.50000E-01,    0.39030E-02
    0.25000E+00,    0.50000E-01,    0.43841E-02
    0.30000E+00,    0.50000E-01,    0.48636E-02
    0.35000E+00,    0.50000E-01,    0.52792E-02
    0.40000E+00,    0.50000E-01,    0.55851E-02
    0.45000E+00,    0.50000E-01,    0.57659E-02
    0.50000E+00,    0.50000E-01,    0.58249E-02
    0.55000E+00,    0.50000E-01,    0.57659E-02
    0.60000E+00,    0.50000E-01,    0.55851E-02
    0.65000E+00,    0.50000E-01,    0.52792E-02
    0.70000E+00,    0.50000E-01,    0.48636E-02
    0.75000E+00,    0.50000E-01,    0.43841E-02
    0.80000E+00,    0.50000E-01,    0.39030E-02
    0.85000E+00,    0.50000E-01,    0.34481E-02
    0.90000E+00,    0.50000E-01,    0.29344E-02
    0.95000E+00,    0.50000E-01,    0.20637E-02
    0.10000E+01,    0.50000E-01,    0.00000E+00
    0.00000E+00,    0.10000E+00,    0.00000E+00
    0.50000E-01,    0.10000E+00,    0.24554E-02
    0.10000E+00,    0.10000E+00,    0.36130E-02
    0.15000E+00,    0.10000E+00,    0.43822E-02
    0.20000E+00,    0.10000E+00,    0.52355E-02
    0.25000E+00,    0.10000E+00,    0.62537E-02
    0.30000E+00,    0.10000E+00,    0.72920E-02
    0.35000E+00,    0.10000E+00,    0.81713E-02
