 X,Y,Hscat_real_z,Hscat_imag_z
    0.10200E+01,    0.26000E+00,   -0.80372E+00,   -0.43645E+00
    0.10100E+01,    0.26000E+00,   -0.47643E+00,   -0.12947E+00
    0.10200E+01,    0.25000E+00,   -0.92756E+00,   -0.54790E-02
    0.10100E+01,    0.25000E+00,   -0.92123E+00,   -0.53581E-03
    0.10200E+01,    0.24007E+00,   -0.42871E+00,   -0.11089E-02
    0.10001E+01,    0.26000E+00,   -0.54103E+00,    0.35138E+00
    0.10000E+01,    0.25000E+00,   -0.92192E+00,    0.59608E-02
    0.10113E+01,    0.23511E+00,   -0.18016E+00,    0.70168E-03
    0.10021E+01,    0.23923E+00,   -0.38614E+00,    0.23969E-02
    0.10200E+01,    0.23015E+00,    0.67916E-01,    0.51235E-03
    0.99011E+00,    0.26000E+00,   -0.10374E+01,    0.60326E+00
    0.99000E+00,    0.25000E+00,   -0.92878E+00,    0.84143E-02
    0.99237E+00,    0.24047E+00,   -0.45044E+00,    0.36203E-02
    0.10037E+01,    0.22890E+00,    0.12971E+00,    0.13499E-02
    0.99526E+00,    0.23092E+00,    0.28368E-01,    0.18546E-02
    0.10200E+01,    0.22022E+00,    0.56435E+00,    0.94341E-03
    0.98014E+00,    0.26000E+00,   -0.16179E+01,    0.27522E+00
    0.10100E+01,    0.22019E+00,    0.56562E+00,    0.90671E-03
    0.98000E+00,    0.25000E+00,   -0.93549E+00,    0.21450E-02
    0.98207E+00,    0.24259E+00,   -0.55974E+00,    0.18097E-02
    0.10000E+01,    0.22016E+00,    0.56649E+00,    0.12367E-02
    0.98576E+00,    0.23135E+00,    0.58429E-02,    0.12912E-02
    0.97018E+00,    0.26000E+00,   -0.16668E+01,   -0.54443E+00
    0.99000E+00,    0.22013E+00,    0.56750E+00,    0.13372E-02
    0.10200E+01,    0.21000E+00,    0.58693E+00,   -0.25968E-02
    0.97000E+00,    0.25000E+00,   -0.93304E+00,   -0.71515E-02
    0.10099E+01,    0.21000E+00,    0.57239E+00,   -0.19091E-01
    0.97430E+00,    0.23372E+00,   -0.11224E+00,   -0.76110E-03
    0.99986E+00,    0.21000E+00,    0.54866E+00,   -0.12564E-01
    0.98000E+00,    0.22010E+00,    0.56955E+00,    0.59396E-03
    0.96588E+00,    0.23984E+00,   -0.41745E+00,   -0.42487E-02
    0.98980E+00,    0.21000E+00,    0.54200E+00,    0.16677E-01
    0.96022E+00,    0.26000E+00,   -0.83083E+00,   -0.11460E+01
    0.96000E+00,    0.25000E+00,   -0.92005E+00,   -0.99429E-02
    0.96607E+00,    0.23008E+00,    0.71691E-01,   -0.19009E-02
    0.97000E+00,    0.22006E+00,    0.57263E+00,   -0.84748E-03
    0.97973E+00,    0.21000E+00,    0.56944E+00,    0.42602E-01
    0.95866E+00,    0.23499E+00,   -0.17205E+00,   -0.24978E-02
    0.95025E+00,    0.26000E+00,    0.37625E+00,   -0.65137E+00
    0.95000E+00,    0.25000E+00,   -0.90661E+00,    0.81223E-02
