 X,Y,Htot_real_z,Htot_imag_z
    0.46389E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.21401E+01,    0.00000E+00,    0.00000E+00
    0.45189E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.45082E+01,   -0.21293E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.20208E+01,    0.00000E+00,    0.00000E+00
    0.43988E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.19612E+01,    0.00000E+00,    0.00000E+00
    0.43388E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.19015E+01,    0.00000E+00,    0.00000E+00
    0.42787E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.45289E+01,   -0.18538E+01,    0.00000E+00,    0.00000E+00
    0.42187E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.43368E+01,   -0.19015E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.17822E+01,    0.00000E+00,    0.00000E+00
    0.41587E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.17225E+01,    0.00000E+00,    0.00000E+00
    0.40986E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.41587E+01,   -0.19555E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.16628E+01,    0.00000E+00,    0.00000E+00
    0.40386E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.39786E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.45289E+01,   -0.15912E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.15435E+01,    0.00000E+00,    0.00000E+00
    0.39186E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.43368E+01,   -0.15435E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.14838E+01,    0.00000E+00,    0.00000E+00
    0.38585E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.14242E+01,    0.00000E+00,    0.00000E+00
    0.37985E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.37985E+01,   -0.19555E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.13645E+01,    0.00000E+00,    0.00000E+00
    0.37385E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.13048E+01,    0.00000E+00,    0.00000E+00
    0.36784E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.43910E+01,   -0.13226E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.12452E+01,    0.00000E+00,    0.00000E+00
    0.36184E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.38318E+01,   -0.16097E+01,    0.00000E+00,    0.00000E+00
    0.39948E+01,   -0.14289E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.11855E+01,    0.00000E+00,    0.00000E+00
    0.35584E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.35584E+01,   -0.19555E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.11259E+01,    0.00000E+00,    0.00000E+00
    0.41273E+01,   -0.12325E+01,    0.00000E+00,    0.00000E+00
    0.34983E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.10662E+01,    0.00000E+00,    0.00000E+00
    0.34383E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.43368E+01,   -0.10662E+01,    0.00000E+00,    0.00000E+00
    0.37605E+01,   -0.13768E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.10065E+01,    0.00000E+00,    0.00000E+00
    0.34669E+01,   -0.17897E+01,    0.00000E+00,    0.00000E+00
    0.33783E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.36040E+01,   -0.15236E+01,    0.00000E+00,    0.00000E+00
    0.39038E+01,   -0.12068E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.94687E+00,    0.00000E+00,    0.00000E+00
    0.33182E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.40193E+01,   -0.10352E+01,    0.00000E+00,    0.00000E+00
    0.32582E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.45289E+01,   -0.87527E+00,    0.00000E+00,    0.00000E+00
    0.36959E+01,   -0.12335E+01,    0.00000E+00,    0.00000E+00
    0.36193E+01,   -0.13076E+01,    0.00000E+00,    0.00000E+00
    0.35397E+01,   -0.13769E+01,    0.00000E+00,    0.00000E+00
    0.33931E+01,   -0.15933E+01,    0.00000E+00,    0.00000E+00
    0.37621E+01,   -0.11400E+01,    0.00000E+00,    0.00000E+00
    0.34651E+01,   -0.14439E+01,    0.00000E+00,    0.00000E+00
    0.38281E+01,   -0.10800E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.82754E+00,    0.00000E+00,    0.00000E+00
    0.31982E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.43368E+01,   -0.82754E+00,    0.00000E+00,    0.00000E+00
    0.31982E+01,   -0.19555E+01,    0.00000E+00,    0.00000E+00
    0.32702E+01,   -0.17164E+01,    0.00000E+00,    0.00000E+00
    0.38813E+01,   -0.98644E+00,    0.00000E+00,    0.00000E+00
    0.41094E+01,   -0.86829E+00,    0.00000E+00,    0.00000E+00
    0.35881E+01,   -0.11957E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.76787E+00,    0.00000E+00,    0.00000E+00
    0.36586E+01,   -0.11255E+01,    0.00000E+00,    0.00000E+00
    0.35121E+01,   -0.12630E+01,    0.00000E+00,    0.00000E+00
    0.31381E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.39372E+01,   -0.92476E+00,    0.00000E+00,    0.00000E+00
    0.37239E+01,   -0.10542E+01,    0.00000E+00,    0.00000E+00
    0.34336E+01,   -0.13271E+01,    0.00000E+00,    0.00000E+00
    0.37838E+01,   -0.98223E+00,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.70821E+00,    0.00000E+00,    0.00000E+00
    0.30781E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.35586E+01,   -0.11263E+01,    0.00000E+00,    0.00000E+00
    0.33409E+01,   -0.13802E+01,    0.00000E+00,    0.00000E+00
    0.38382E+01,   -0.90997E+00,    0.00000E+00,    0.00000E+00
    0.36271E+01,   -0.10595E+01,    0.00000E+00,    0.00000E+00
    0.32205E+01,   -0.15856E+01,    0.00000E+00,    0.00000E+00
    0.39779E+01,   -0.83416E+00,    0.00000E+00,    0.00000E+00
    0.34849E+01,   -0.11913E+01,    0.00000E+00,    0.00000E+00
    0.35929E+01,   -0.10851E+01,    0.00000E+00,    0.00000E+00
    0.35222E+01,   -0.11510E+01,    0.00000E+00,    0.00000E+00
    0.32777E+01,   -0.14648E+01,    0.00000E+00,    0.00000E+00
    0.31256E+01,   -0.18129E+01,    0.00000E+00,    0.00000E+00
    0.36586E+01,   -0.10180E+01,    0.00000E+00,    0.00000E+00
    0.36905E+01,   -0.99175E+00,    0.00000E+00,    0.00000E+00
    0.34471E+01,   -0.12148E+01,    0.00000E+00,    0.00000E+00
    0.34081E+01,   -0.12538E+01,    0.00000E+00,    0.00000E+00
    0.37191E+01,   -0.95021E+00,    0.00000E+00,    0.00000E+00
    0.33695E+01,   -0.12768E+01,    0.00000E+00,    0.00000E+00
    0.37488E+01,   -0.92338E+00,    0.00000E+00,    0.00000E+00
    0.38873E+01,   -0.83803E+00,    0.00000E+00,    0.00000E+00
    0.40243E+01,   -0.77289E+00,    0.00000E+00,    0.00000E+00
    0.31524E+01,   -0.16410E+01,    0.00000E+00,    0.00000E+00
    0.33300E+01,   -0.13162E+01,    0.00000E+00,    0.00000E+00
    0.35435E+01,   -0.10732E+01,    0.00000E+00,    0.00000E+00
    0.45150E+01,   -0.64855E+00,    0.00000E+00,    0.00000E+00
    0.35076E+01,   -0.11050E+01,    0.00000E+00,    0.00000E+00
    0.35769E+01,   -0.10410E+01,    0.00000E+00,    0.00000E+00
    0.36103E+01,   -0.10087E+01,    0.00000E+00,    0.00000E+00
    0.34718E+01,   -0.11368E+01,    0.00000E+00,    0.00000E+00
    0.30181E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.36412E+01,   -0.97600E+00,    0.00000E+00,    0.00000E+00
    0.34341E+01,   -0.11675E+01,    0.00000E+00,    0.00000E+00
    0.37745E+01,   -0.88201E+00,    0.00000E+00,    0.00000E+00
    0.32892E+01,   -0.13470E+01,    0.00000E+00,    0.00000E+00
    0.36721E+01,   -0.94332E+00,    0.00000E+00,    0.00000E+00
    0.33964E+01,   -0.11983E+01,    0.00000E+00,    0.00000E+00
    0.38019E+01,   -0.85482E+00,    0.00000E+00,    0.00000E+00
    0.31957E+01,   -0.14871E+01,    0.00000E+00,    0.00000E+00
    0.41610E+01,   -0.69322E+00,    0.00000E+00,    0.00000E+00
    0.32497E+01,   -0.13824E+01,    0.00000E+00,    0.00000E+00
    0.37004E+01,   -0.91038E+00,    0.00000E+00,    0.00000E+00
    0.33574E+01,   -0.12284E+01,    0.00000E+00,    0.00000E+00
    0.39315E+01,   -0.76682E+00,    0.00000E+00,    0.00000E+00
    0.37288E+01,   -0.87744E+00,    0.00000E+00,    0.00000E+00
    0.33184E+01,   -0.12585E+01,    0.00000E+00,    0.00000E+00
    0.34968E+01,   -0.10567E+01,   -0.59124E-01,   -0.26342E+00
    0.35301E+01,   -0.10260E+01,    0.11035E-01,   -0.28396E+00
    0.38248E+01,   -0.81388E+00,    0.00000E+00,    0.00000E+00
    0.34610E+01,   -0.10885E+01,   -0.12414E+00,   -0.22383E+00
    0.35635E+01,   -0.99369E+00,    0.87275E-01,   -0.28515E+00
    0.32057E+01,   -0.14159E+01,    0.00000E+00,    0.00000E+00
    0.36330E+01,   -0.93467E+00,    0.22369E+00,   -0.23086E+00
    0.35942E+01,   -0.96259E+00,    0.15846E+00,   -0.26623E+00
    0.34256E+01,   -0.11186E+01,   -0.17531E+00,   -0.17274E+00
    0.37547E+01,   -0.84444E+00,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.58888E+00,    0.00000E+00,    0.00000E+00
    0.38499E+01,   -0.78652E+00,    0.00000E+00,    0.00000E+00
    0.32777E+01,   -0.12892E+01,    0.00000E+00,    0.00000E+00
    0.31297E+01,   -0.15402E+01,    0.00000E+00,    0.00000E+00
    0.33879E+01,   -0.11494E+01,   -0.21267E+00,   -0.10926E+00
    0.36534E+01,   -0.89858E+00,    0.27998E+00,   -0.17184E+00
    0.29581E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.33505E+01,   -0.11791E+01,   -0.23279E+00,   -0.42555E-01
    0.37806E+01,   -0.81145E+00,    0.00000E+00,    0.00000E+00
    0.32369E+01,   -0.13200E+01,    0.00000E+00,    0.00000E+00
    0.36818E+01,   -0.86564E+00,    0.32233E+00,   -0.99882E-01
    0.37166E+01,   -0.83766E+00,    0.34552E+00,   -0.22930E-01
    0.33030E+01,   -0.12144E+01,   -0.23409E+00,    0.38029E-01
    0.38702E+01,   -0.74615E+00,    0.00000E+00,    0.00000E+00
    0.39713E+01,   -0.69648E+00,    0.00000E+00,    0.00000E+00
    0.35147E+01,   -0.98442E+00,    0.66346E-01,   -0.26996E+00
    0.38041E+01,   -0.77857E+00,    0.00000E+00,    0.00000E+00
    0.34768E+01,   -0.10179E+01,   -0.13036E-01,   -0.25985E+00
